fold,entryThreshold,combo,trainTrades,trainNet,trainPF,trainDD,trainNetToDD,isBest
2,0.3,lq0.45@0.75_hv3@0.75,15,-140.11,0.385,156.20,-0.897,0
2,0.3,lq0.55@0.5_hv2@0.5,15,-96.81,0.371,106.23,-0.911,0
2,0.3,lq0.55@0.5_hv2@0.75,15,-96.81,0.371,106.23,-0.911,0
2,0.3,lq0.55@0.5_hv2.5@0.5,15,-96.81,0.371,106.23,-0.911,0
2,0.3,lq0.55@0.5_hv2.5@0.75,15,-96.81,0.371,106.23,-0.911,0
2,0.3,lq0.55@0.5_hv3@0.5,15,-96.81,0.371,106.23,-0.911,0
2,0.3,lq0.55@0.5_hv3@0.75,15,-96.81,0.371,106.23,-0.911,0
2,0.3,lq0.55@0.75_hv2@0.5,15,-128.35,0.401,142.47,-0.901,0
2,0.3,lq0.55@0.75_hv2@0.75,15,-128.35,0.401,142.47,-0.901,0
2,0.3,lq0.55@0.75_hv2.5@0.5,15,-128.35,0.401,142.47,-0.901,0
2,0.3,lq0.55@0.75_hv2.5@0.75,15,-128.35,0.401,142.47,-0.901,0
2,0.3,lq0.55@0.75_hv3@0.5,15,-128.35,0.401,142.47,-0.901,0
2,0.3,lq0.55@0.75_hv3@0.75,15,-128.35,0.401,142.47,-0.901,0
