pair,openedAtMs,entryPrice,baseRiskUsd,effectiveRiskUsd,riskMultiplier,notionalUsd,stopDistanceUsd,initialStopPrice,v4Quality,v4Impulse,v4Retracement,v4Structure,v4Reclaim,v4Resumption,regime,direction,adx,atrPct,spreadPct,setupTag,openPositions,openLotsForPair,openRiskUsd,exitReason,netPnlUsd,rMultiple,mfeR,maeR,holdTimeMinutes,closedAtMs
BTC/USD,1775670600000,71919.9,50,50,1,3829.6006389776435,938.999999999998,70980.9,0.5124,1,1,0,0.1320273046664011,0.43015762899658994,TREND,BULLISH,44.66901441550006,0.6556218702608789,0,PULLBACK_CONTINUATION,0,0,0,STRUCTURE_INVALIDATION,-40.09021405750808,-0.6645367412140589,0,0.6490947816826425,55,1775673900000
BTC/USD,1775844600000,73035.2,50,50,1,4108.971082284479,888.7285714285723,72146.47142857143,0.5083,1,0.19856854468708263,0.748128487291762,0.12198007020691086,0.47259386434796913,TREND,BULLISH,27.769512933083696,0.6076635287990381,0,PULLBACK_CONTINUATION,0,0,0,TIME_EFFICIENCY,-3.112983073733101,0.08574046390509381,0.4027101316487532,0.065486811014126,185,1775855700000
BTC/USD,1776138300000,74511.6,50,50,1,2800.7367234065405,1330.2142857142858,73181.38571428572,0.4166,1,0.34418942944886277,0.605500750813862,0.1332581826965698,0,TREND,BULLISH,47.40657521056955,0.8943170170620877,0,PULLBACK_CONTINUATION,0,0,0,STRUCTURE_INVALIDATION,-16.18738291360157,-0.22312194598077864,0.008494871932547764,0.22312194598077867,135,1776146400000
BTC/USD,1776849000000,78085.4,50,50,1,3579.3658485475435,1090.771428571432,76994.62857142856,0.5892,1,0.4840449040926311,1,0.045234662822364775,0.41671447435577114,TREND,BULLISH,27.301274525768697,0.6988764559163427,0,PULLBACK_CONTINUATION,0,0,0,TIME_EFFICIENCY,10.113068797967331,0.3314168216465401,0.3315084998821323,0.09378683500535877,185,1776860100000
BTC/USD,1776855900000,78236.4,50,50,1,4464.019171516588,876.3000000000029,77360.09999999999,0.3099,0.91194528220597,0.2334123222748763,0,0.023987810354290363,0.38029514174993234,TREND,BULLISH,30.021651954251826,0.560547152359059,0,PULLBACK_CONTINUATION,1,1,50,STRUCTURE_INVALIDATION,27.993020655026726,0.7212141960515781,1.3947278329339352,0.1305488987789499,535,1776888000000
BTC/USD,1787171100000,68766.7,50,50,1,2815.6697473093095,1221.1428571428582,67545.55714285714,0.638,1,0.3768929092834936,1,0.18108314819536425,0.6321070246319247,TREND,BULLISH,44.725585805653836,0.8927292072840363,0,PULLBACK_CONTINUATION,0,0,0,TIME_EFFICIENCY,18.20867384183433,0.46595694899391626,0.8635353299017307,0.10752222742162137,185,1787182200000
BTC/USD,1787260500000,72685.4,50,50,1,2642.199557554296,1375.471428571427,71309.92857142857,0.418,1,0.7005960865621246,0.36947557371662787,0.02015538217493971,0,TREND,BULLISH,63.62972164940846,0.9465616345001714,0,PULLBACK_CONTINUATION,0,0,0,PROFIT,147.16777847595148,3.0412118442508103,3.0412118442508103,0.14540469241714546,660,1787300100000
BTC/USD,1787289300000,75305.7,50,50,1,2681.963368099724,1403.9285714285693,73901.77142857143,0.6137,1,0.8490554934384607,1,0.21930610830256073,0,TREND,BULLISH,65.89307678890226,0.9362607228170939,0,PULLBACK_CONTINUATION,1,1,50,TRAILING,75.51728710251855,1.6083439328415186,2.8176647163571675,0.09544645128466053,245,1787304000000
BTC/USD,1787346900000,77688.1,50,50,1,1708.1816182937557,2274,75414.1,0.4251,1,1,0,0.12563056632869873,0,TREND,BULLISH,57.98433101085276,1.4672311915027054,0,PULLBACK_CONTINUATION,0,0,0,TIME_EFFICIENCY,5.031427440633245,0.16226912928759896,0.45642040457343636,0.007695690413368515,185,1787358000000
BTC/USD,1787373300000,78700.5,50,50,1,2690.4314234924154,1462.5999999999974,77237.90000000001,0.3217,1,0.06526683745540907,0,0.11232937390852761,0.43109853792597885,TREND,BULLISH,49.36410324043588,0.9326675976763004,0,PULLBACK_CONTINUATION,0,0,0,EMERGENCY,-64.46020613975124,-1.1934226719540566,0,1.1900041022836065,45,1787376000000
BTC/USD,1788461700000,81170,50,50,1,3405.108351711569,1191.885714285716,79978.11428571428,0.5893,1,0.558813869469378,1,0.02389384464925879,0.3639709097653584,TREND,BULLISH,28.660356536872992,0.7352898407289173,0,PULLBACK_CONTINUATION,0,0,0,TIME_EFFICIENCY,12.220130525457964,0.36731709655767764,0.765090133282188,0,185,1788472800000
BTC/USD,1788510900000,81090.8,50,50,1,4499.616335848772,901.0857142857234,80189.71428571428,0.3061,1,0,0,0.13695872590100866,0.393583893239425,TREND,BULLISH,41.404786715433,0.5586389318089645,0,PULLBACK_CONTINUATION,0,0,0,STRUCTURE_INVALIDATION,-15.977145427738128,-0.15769864924853044,0.1316189993024178,0.2771101528314988,115,1788517800000
ETH/USD,1775047500000,2141.21,50,50,1,2872.675176326284,37.26857142857138,2103.941428571429,0.3418,0.8270640432098743,0.6793981481481248,0,0.20250290791373124,0,TREND,BULLISH,37.49735561260046,0.8729106591599728,0,PULLBACK_CONTINUATION,0,0,0,STRUCTURE_INVALIDATION,-24.70052418736609,-0.3909460288255186,0,0.5814550751303309,30,1775049300000
ETH/USD,1775061900000,2149.07,50,50,1,2786.1410527095672,38.56714285714276,2110.5028571428575,0.4501,1,0.9383677828736741,0,0.3120026802914783,0,TREND,BULLISH,38.1078999322898,0.9033725641365388,0,PULLBACK_CONTINUATION,0,0,0,STRUCTURE_INVALIDATION,-33.666504796829805,-0.573545208726906,0.4047486757787827,0.6266992628810643,105,1775068200000
ETH/USD,1775091300000,2157,50,50,1,2908.8001849425964,37.07714285714279,2119.922857142857,0.3936,1,0,0,0.3469448418080158,0.6210013908205796,TREND,BULLISH,42.23470364847551,0.8662479056385867,0,PULLBACK_CONTINUATION,0,0,0,EMERGENCY,-57.59293018417228,-1.0480850735917446,0,1.0486244894813952,25,1775092800000
ETH/USD,1775488200000,2161.24,50,50,1,3447.582152135281,31.34428571428563,2129.8957142857143,0.3562,1,0,0,0.20005749044916982,0.5807055841789255,TREND,BULLISH,48.16643410448705,0.7266117195737738,0,PULLBACK_CONTINUATION,0,0,0,EMERGENCY,-59.54850804430046,-1.0678182398249818,0.1863178524224107,1.0607994166172947,125,1775495700000
ETH/USD,1776150300000,2377.61,50,50,1,2333.34314715119,50.94857142857141,2326.6614285714286,0.3182,1,0,0,0.11373209772535997,0.4772618917440956,TREND,BULLISH,44.02150308314708,1.0730533156817905,0,PULLBACK_CONTINUATION,0,0,0,TIME_EFFICIENCY,3.594945743606821,0.15603970390309205,0.30363952445042236,0.10481157469717652,185,1776161400000
ETH/USD,1776153300000,2377.06,50,50,1,2332.803387169135,50.94857142857141,2326.1114285714284,0.5106,1,0.6655444502893193,0.3102093516514763,0,0.5773728691409965,TREND,BULLISH,44.02150308314708,1.0730533156817905,0,BREAKOUT_RETEST,1,1,50,STRUCTURE_INVALIDATION,-5.385449332660423,-0.023749439210408976,0.3144347240915206,0.030226558995064344,185,1776164400000
ETH/USD,1777915200000,2367.11,50,50,1,2617.0783712922885,45.224285714285735,2321.8857142857146,0.3034,1,0,0,0.18024345559706664,0.3368995051082296,TREND,BULLISH,27.923594936788454,0.9601555320329871,0,PULLBACK_CONTINUATION,0,0,0,STRUCTURE_INVALIDATION,-18.231113813690747,-0.2706510408440522,0.12404839372018098,0.28767729096250905,145,1777923900000
ETH/USD,1783139100000,1754.21,50,50,1,3681.3376903705544,23.82571428571425,1730.3842857142859,0.302,1,0,0,0.009984993980478949,0.5001125576437994,TREND,BULLISH,58.607251874973045,0.679848947819819,0,PULLBACK_CONTINUATION,0,0,0,STRUCTURE_INVALIDATION,-10.106903705480462,-0.06967262261662424,0.24721189591077575,0.12045808849982528,140,1783147500000
ETH/USD,1783292400000,1788.25,50,50,1,4041.3734099567473,22.124285714285666,1766.1257142857144,0.4228,1,0.809396799343455,0.30471836774165145,0,0,TREND,BULLISH,29.711789931022015,0.6186465593552354,0,BREAKOUT_RETEST,0,0,0,STRUCTURE_INVALIDATION,-15.041737586362913,-0.1554852456899363,0.4967392006198763,0.2951507716149023,75,1783296900000
ETH/USD,1784116500000,1881.96,50,50,1,3931.749537396293,23.932857142857106,1858.027142857143,0.3016,1,0,0,0.08377882390489351,0.42409601114770334,TREND,BULLISH,40.526742547979815,0.6376246095010738,0,PULLBACK_CONTINUATION,0,0,0,STRUCTURE_INVALIDATION,76.66523846475246,1.6763564734674368,2.3632782188264803,0.08983465647944046,560,1784150100000
ETH/USD,1784171700000,1926.23,50,50,1,3510.0770552402696,27.438571428571485,1898.7914285714285,0.3841,1,0.8489316506310258,0,0.07138296049796754,0,TREND,BULLISH,37.48152898528964,0.7131643749758667,0,PULLBACK_CONTINUATION,0,0,0,STRUCTURE_INVALIDATION,-21.684106315405895,-0.3075961888894687,0,0.4132868225126217,60,1784175300000
ETH/USD,1784602500000,1913.22,50,50,1,3093.536912131568,30.92285714285718,1882.297142857143,0.3287,1,0,0,0.12009230624322793,0.5235575900434176,TREND,BULLISH,27.42291835992824,0.8111296308509564,0,PULLBACK_CONTINUATION,0,0,0,TIME_EFFICIENCY,18.87372008685186,0.4892820844497785,0.5765961378545659,0,195,1784614200000
ETH/USD,1785109500000,1952.42,50,50,1,4910.865971972697,19.87857142857141,1932.5414285714287,0.5778,1,0.8891079349433262,1,0,0,TREND,BULLISH,45.29249876495657,0.5101490889173542,0,BREAKOUT_RETEST,0,0,0,TIME_EFFICIENCY,-33.74346352856654,-0.49852676967301934,0.05282069708946955,0.6474308300395323,185,1785120600000
ETH/USD,1787220900000,2286.64,50,50,1,1459.406626670799,78.34142857142862,2208.2985714285714,0.4548,1,0.3589658965896647,0.6869965722662311,0.22780039263868215,0,TREND,BULLISH,68.09298918304529,1.7205266589235289,0,PULLBACK_CONTINUATION,0,0,0,STRUCTURE_INVALIDATION,-8.729314265394875,-0.12215758857746845,0.3755356589288652,0.18572548733565167,135,1787229000000
ETH/USD,1787243400000,2325.08,50,50,1,2116.788055353236,54.92000000000014,2270.16,0.39,1,0.5789342422479042,0.22483460925274418,0.14603469560691423,0,TREND,BULLISH,66.75030187314833,1.180608103460139,0,PULLBACK_CONTINUATION,0,0,0,STRUCTURE_INVALIDATION,-12.578721777130223,-0.17552804078659592,0.42042971595047507,0.2452658412235937,150,1787252400000
ETH/USD,1787339400000,2412.42,50,50,1,1717.9332234633455,70.21285714285717,2342.207142857143,0.4282,1,0.4251846094053515,0,0.26361348808574914,0.45196740574598854,TREND,BULLISH,55.751639486273994,1.4505529921547546,0,PULLBACK_CONTINUATION,1,1,50,TRAILING,26.505262365460055,0.592484079025004,1.8461006327697387,0.010966652424260656,600,1787375400000
ETH/USD,1787338800000,2419.47,50,50,1,1722.9536714887374,70.21285714285717,2349.2571428571428,0.3378,1,0.4251846094053515,0,0.26361348808574914,0,TREND,BULLISH,55.751639486273994,1.4505529921547546,0,PULLBACK_CONTINUATION,0,0,0,TRAILING,21.480295936845224,0.49207511851716446,1.7456916722618991,0.16677857128323473,610,1787375400000
ETH/USD,1788499200000,2514.71,50,50,1,3250.539203013617,38.6814285714287,2476.0285714285715,0.3058,1,0,0,0.03723467802954663,0.49188346657919535,TREND,BULLISH,41.0166025087231,0.7707766976472791,0,PULLBACK_CONTINUATION,0,0,0,STRUCTURE_INVALIDATION,-13.974169775085773,-0.16261033349336929,0.024818111312184633,0.2642094766776288,85,1788504300000
ETH/USD,1788510000000,2515,50,50,1,3858.5455661245687,32.59000000000008,2482.41,0.3131,1,0,0,0.157644567233817,0.40767100426671954,TREND,BULLISH,42.45768278815175,0.6507457918172577,0,PULLBACK_CONTINUATION,0,0,0,TIME_EFFICIENCY,7.815791653881707,0.2954894139306562,0.737649585762501,0.00889843510279113,185,1788521100000
ETH/USD,1788512700000,2530.56,50,50,1,3629.7528789803596,34.85857142857152,2495.7014285714286,0.3519,1,0.10073307460110859,0,0.1640310887390375,0.49457992081417823,TREND,BULLISH,43.397619845578376,0.6897333441877102,0,PULLBACK_CONTINUATION,1,1,50,TIME_EFFICIENCY,-15.619260276218354,-0.18187779189377853,0.2432687184951435,0.40678660710626036,185,1788523800000
SOL/USD,1776414000000,88.39,50,50,1,2480.8740978348037,1.7814285714285714,86.60857142857142,0.3233,1,0.15228426395939065,0,0.10756340579710016,0.3567536972022744,TREND,BULLISH,27.66264009393934,1.0107969651773554,0,PULLBACK_CONTINUATION,0,0,0,STRUCTURE_INVALIDATION,-18.76704490777881,-0.2862870890136356,0.63432237369687,0.2806736166800321,130,1776421800000
SOL/USD,1778031300000,86.9,50,50,1,4007.2463768116004,1.0842857142857127,85.8157142857143,0.338,1,0,0,0.12100956551803257,0.5690448791714641,TREND,BULLISH,29.20676957124577,0.6276254423973795,0,PULLBACK_CONTINUATION,0,0,0,TIME_EFFICIENCY,-3.988017127800057,0.06455862977601488,0.3965744400526947,0.4242424242424322,185,1778042400000
