fold,pair,lotId,entryTime,entryPrice,stopDistanceUsd,r0RiskUsd,r1Multiplier,r1RiskUsd,r0Net,r1Net,u75Net,u50Net,rMultiple,mfeR,maeR,e0ExitReason
2,SOL/USD,replay-SOL/USD-12,1787347200000,92.4,2.838571428571427,50,0.750,37.50,19.24,14.43,14.43,9.62,0.44388525415198493,0.8595873175641667,0,TIME_EFFICIENCY
2,SOL/USD,replay-SOL/USD-11,1787346900000,92.24,2.838571428571427,50,0.750,37.50,20.48,15.36,15.36,10.24,0.4685455460493202,0.915953699043788,0,TIME_EFFICIENCY
2,SOL/USD,replay-SOL/USD-13,1787366100000,95.15,2.517142857142854,50,0.750,37.50,94.64,70.98,70.98,47.32,1.962542565266744,2.7928490351872908,0.04370034052213377,TRAILING
2,SOL/USD,replay-SOL/USD-15,1787838000000,104.61,3.0271428571428567,50,1.000,50.00,38.64,38.64,28.98,19.32,0.8357715903728179,1.5823501651722531,0.013213780084947797,TRAILING
2,SOL/USD,replay-SOL/USD-14,1787810400000,102.02,2.567142857142857,50,0.750,37.50,96.06,72.04,72.04,48.03,1.994435169727325,2.8747913188647782,0.41291040623261077,TRAILING
2,SOL/USD,replay-SOL/USD-17,1787877600000,109.97,3.3142857142857087,50,0.750,37.50,-34.79,-26.09,-26.09,-17.39,-0.6366379310344836,0,0.6245689655172404,STRUCTURE_INVALIDATION
2,SOL/USD,replay-SOL/USD-16,1787873400000,109.94,3.394285714285709,50,0.750,37.50,-33.53,-25.15,-25.15,-16.76,-0.6127946127946133,0.002946127946129458,0.6010101010100997,STRUCTURE_INVALIDATION
2,SOL/USD,replay-SOL/USD-18,1788461400000,104.97,2.281428571428571,50,1.000,50.00,3.74,3.74,2.81,1.87,0.15779586725109557,0.3024420788979327,0.04383218534752412,TIME_EFFICIENCY
2,SOL/USD,replay-SOL/USD-19,1788461700000,105.18,2.281428571428571,50,1.000,50.00,-3.27,-3.27,-2.46,-1.64,0.01753287413900716,0.2103944896681233,0.13587977457733352,TIME_EFFICIENCY
2,SOL/USD,replay-SOL/USD-20,1788496200000,104.29,2.159999999999999,50,0.750,37.50,-18.22,-13.67,-13.67,-9.11,-0.2777777777777819,0,0.25462962962963503,STRUCTURE_INVALIDATION
2,SOL/USD,replay-SOL/USD-21,1788686400000,105.99,1.7528571428571442,50,0.750,37.50,10.52,7.89,7.89,5.26,0.319478402607988,0.5819070904645531,0,TIME_EFFICIENCY
2,SOL/USD,replay-SOL/USD-22,1788699300000,107.13,1.912857142857143,50,0.750,37.50,-27.50,-20.62,-20.62,-13.75,-0.4495892457057502,0,0.6587005227781879,STRUCTURE_INVALIDATION
2,XRP/USD,replay-XRP/USD-1,1787279400000,1.29684,0.064842,50,0.500,25.00,5.26,2.63,3.94,2.63,0.1412664630949085,0.3499275161160991,0.14280867339070427,TIME_EFFICIENCY
2,XRP/USD,replay-XRP/USD-2,1787304300000,1.36499,0.05306857142857159,50,1.000,50.00,-2.53,-2.53,-1.90,-1.27,-0.00433401529018968,1.1522827608484951,0.011682997738771635,BREAK_EVEN
2,XRP/USD,replay-XRP/USD-3,1787319900000,1.41154,0.070577,50,0.500,25.00,-15.96,-7.98,-11.97,-7.98,-0.2835201269535413,0.10895900930898131,0.3324029074627717,TIME_EFFICIENCY
2,XRP/USD,replay-XRP/USD-4,1787320200000,1.41849,0.0709245,50,0.500,25.00,-17.27,-8.64,-12.96,-8.64,-0.30976601879463433,0.006203780075996248,0.4287658002523817,TIME_EFFICIENCY
2,XRP/USD,replay-XRP/USD-5,1787356800000,1.45424,0.072712,50,0.500,25.00,152.97,76.48,114.72,76.48,3.098113103751789,3.089036197601496,0.32374298602706425,PROFIT
2,XRP/USD,replay-XRP/USD-7,1787383800000,1.61324,0.08066200000000001,50,0.500,25.00,-57.22,-28.61,-42.91,-28.61,-1.1093203739059283,0,1.1101881927053632,EMERGENCY
2,XRP/USD,replay-XRP/USD-6,1787383500000,1.59647,0.0798235,50,0.500,25.00,-53.96,-26.98,-40.47,-26.98,-1.0440534429084163,0.20119388400658905,1.0582096750956802,EMERGENCY
2,XRP/USD,replay-XRP/USD-8,1788470100000,1.47409,0.04012714285714284,50,1.000,50.00,-37.94,-37.94,-28.45,-18.97,-0.6932963081633372,0,0.6838264089145197,STRUCTURE_INVALIDATION
2,XRP/USD,replay-XRP/USD-9,1788496200000,1.45547,0.04009428571428567,50,0.750,37.50,-12.72,-9.54,-9.54,-6.36,-0.1893037839378606,0.020202380104039935,0.19479085013896075,STRUCTURE_INVALIDATION
2,XRP/USD,replay-XRP/USD-10,1788514500000,1.45437,0.028995714285714298,50,1.000,50.00,-19.74,-19.74,-14.81,-9.87,-0.30487264127703445,0.01793368478100473,0.33729122530422856,STRUCTURE_INVALIDATION
2,XRP/USD,replay-XRP/USD-11,1788941100000,1.4436,0.02393428571428578,50,1.000,50.00,-36.05,-36.05,-27.04,-18.02,-0.612928255938877,0,0.6212844693804422,STRUCTURE_INVALIDATION
