policy,fold,pair,lotId,exitReason,entryPrice,exitPrice,volume,riskUsd,grossPnlUsd,entryFeeUsd,exitFeeUsd,netPnlUsd,rMultiple,mfeR,maeR,holdTimeMinutes,openedAtMs,closedAtMs
R1,1,BTC/USD,replay-BTC/USD-1,STRUCTURE_INVALIDATION,66803.3,66519.3,0.04088976120379447,25,-11.61269218187763,2.458413886162899,2.447962463199209,-16.51906853123974,-0.4645076872751052,0.043506705920823036,0.48855086686293153,130,1784644500000,1784652300000
U75,1,BTC/USD,replay-BTC/USD-1,STRUCTURE_INVALIDATION,66803.3,66519.3,0.06133464180569171,37.5,-17.419038272816447,3.687620829244349,3.6719436947988138,-24.77860279685961,-0.4645076872751052,0.04350670592082304,0.48855086686293164,130,1784644500000,1784652300000
U50,1,BTC/USD,replay-BTC/USD-1,STRUCTURE_INVALIDATION,66803.3,66519.3,0.04088976120379447,25,-11.61269218187763,2.458413886162899,2.447962463199209,-16.51906853123974,-0.4645076872751052,0.043506705920823036,0.48855086686293153,130,1784644500000,1784652300000
R0,1,ETH/USD,replay-ETH/USD-1,STRUCTURE_INVALIDATION,1881.96,1922.08,2.0891780576613175,50,83.81782367337183,3.5385745836566636,3.6140106249626984,76.66523846475246,1.6763564734674368,2.3632782188264803,0.08983465647944046,560,1784116500000,1784150100000
R0,1,ETH/USD,replay-ETH/USD-2,STRUCTURE_INVALIDATION,1926.23,1917.79,1.8222523038475518,50,-15.379809444473436,3.1590693497162428,3.1452275212162166,-21.684106315405895,-0.3075961888894687,0,0.4132868225126217,60,1784171700000,1784175300000
R0,1,ETH/USD,replay-ETH/USD-3,TIME_EFFICIENCY,1913.22,1928.35,1.6169269149034444,50,24.464104222488924,2.784183220918411,2.806200914718651,18.87372008685186,0.4892820844497785,0.5765961378545659,0,195,1784602500000,1784614200000
R0,1,ETH/USD,replay-ETH/USD-4,TIME_EFFICIENCY,1952.42,1942.51,2.5152712899748497,50,-24.926338483650966,4.419779374775427,4.39734567014014,-33.74346352856654,-0.49852676967301934,0.05282069708946955,0.6474308300395323,185,1785109500000,1785120600000
R1,1,ETH/USD,replay-ETH/USD-1,STRUCTURE_INVALIDATION,1881.96,1922.08,1.0445890288306587,25,41.90891183668592,1.7692872918283318,1.8070053124813492,38.33261923237623,1.6763564734674368,2.3632782188264803,0.08983465647944046,560,1784116500000,1784150100000
R1,1,ETH/USD,replay-ETH/USD-2,STRUCTURE_INVALIDATION,1926.23,1917.79,0.9111261519237759,25,-7.689904722236718,1.5795346748581214,1.5726137606081083,-10.842053157702948,-0.3075961888894687,0,0.4132868225126217,60,1784171700000,1784175300000
R1,1,ETH/USD,replay-ETH/USD-4,STRUCTURE_INVALIDATION,1874.6,1868.95,1.633529356856158,25,-9.22944086623707,2.7559927191262985,2.7476862223466845,-14.733119807710054,-0.3691776346494828,0,0.41426304489871635,85,1784472600000,1784477700000
R1,1,ETH/USD,replay-ETH/USD-3,STRUCTURE_INVALIDATION,1872.51,1868.95,1.633529356856158,25,-5.815364510407833,2.752920050406052,2.7476862223466845,-11.31597078316057,-0.2326145804163133,0.13656305423316945,0.27769999066554685,130,1784469900000,1784477700000
R1,1,ETH/USD,replay-ETH/USD-5,TIME_EFFICIENCY,1913.22,1928.35,0.8084634574517222,25,12.232052111244462,1.3920916104592056,1.4031004573593255,9.43686004342593,0.4892820844497785,0.5765961378545659,0,195,1784602500000,1784614200000
R1,1,ETH/USD,replay-ETH/USD-6,TIME_EFFICIENCY,1952.42,1942.51,2.5152712899748497,50,-24.926338483650966,4.419779374775427,4.39734567014014,-33.74346352856654,-0.49852676967301934,0.05282069708946955,0.6474308300395323,185,1785109500000,1785120600000
U75,1,ETH/USD,replay-ETH/USD-1,STRUCTURE_INVALIDATION,1881.96,1922.08,1.5668835432459882,37.5,62.863367755028875,2.6539309377424978,2.710507968722024,57.49892884856435,1.6763564734674368,2.3632782188264803,0.08983465647944046,560,1784116500000,1784150100000
U75,1,ETH/USD,replay-ETH/USD-2,STRUCTURE_INVALIDATION,1926.23,1917.79,1.366689227885664,37.5,-11.534857083355078,2.369302012287182,2.3589206409121624,-16.263079736554424,-0.3075961888894687,0,0.4132868225126218,60,1784171700000,1784175300000
U75,1,ETH/USD,replay-ETH/USD-4,STRUCTURE_INVALIDATION,1874.6,1868.95,2.450294035284237,37.5,-13.844161299355603,4.133989078689447,4.121529333520027,-22.099679711565077,-0.3691776346494828,0,0.4142630448987163,85,1784472600000,1784477700000
U75,1,ETH/USD,replay-ETH/USD-3,STRUCTURE_INVALIDATION,1872.51,1868.95,2.450294035284237,37.5,-8.72304676561175,4.1293800756090775,4.121529333520027,-16.973956174740856,-0.2326145804163133,0.13656305423316947,0.27769999066554685,130,1784469900000,1784477700000
U75,1,ETH/USD,replay-ETH/USD-5,TIME_EFFICIENCY,1913.22,1928.35,1.2126951861775834,37.5,18.348078166866692,2.0881374156888084,2.1046506860389886,14.155290065138894,0.4892820844497785,0.576596137854566,0,195,1784602500000,1784614200000
U75,1,ETH/USD,replay-ETH/USD-6,TIME_EFFICIENCY,1952.42,1942.51,1.8864534674811373,37.5,-18.694753862738224,3.31483453108157,3.2980092526051057,-25.3075976464249,-0.49852676967301934,0.05282069708946956,0.6474308300395323,185,1785109500000,1785120600000
U50,1,ETH/USD,replay-ETH/USD-1,STRUCTURE_INVALIDATION,1881.96,1922.08,1.0445890288306587,25,41.90891183668592,1.7692872918283318,1.8070053124813492,38.33261923237623,1.6763564734674368,2.3632782188264803,0.08983465647944046,560,1784116500000,1784150100000
U50,1,ETH/USD,replay-ETH/USD-2,STRUCTURE_INVALIDATION,1926.23,1917.79,0.9111261519237759,25,-7.689904722236718,1.5795346748581214,1.5726137606081083,-10.842053157702948,-0.3075961888894687,0,0.4132868225126217,60,1784171700000,1784175300000
U50,1,ETH/USD,replay-ETH/USD-4,STRUCTURE_INVALIDATION,1874.6,1868.95,1.633529356856158,25,-9.22944086623707,2.7559927191262985,2.7476862223466845,-14.733119807710054,-0.3691776346494828,0,0.41426304489871635,85,1784472600000,1784477700000
