pair,frameIndex,evaluationTime,atr,impulseAtr,impulseHigh,retracementAtr,retracementLow,ema20,reclaimBodyPct,reclaimIsBullish,resumptionExists,resumptionBodyPct,distanceFromOriginAtr,impulseScore,retracementScore,structureScore,reclaimScore,resumptionScore,qualityScore,accepted,rejectReason
BTC/USD,6809,1775489400000,234.24999999999895,2.7534685165421684,69812.1,2.0853788687299986,69323.6,69527.28279617558,0.0002523890922024077,1,0,0,0,1,0,0,0.012619454610120385,0,0.2025,0,V4_SCORE_BELOW_THRESHOLD
BTC/USD,7346,1775650500000,154.02142857142982,3.4118629133237213,71990.4,3.6709177758196234,71425,71653.14018145666,0.0022260676841516815,1,0,0,0,1,0,0,0.11130338420758407,0,0.2223,0,V4_SCORE_BELOW_THRESHOLD
BTC/USD,7413,1775670600000,267.1357142857128,3.6880130484772415,71688.2,0.9212545789994109,71442.1,71549.33005308239,0.002640546093328022,1,1,0.0010956618464961472,0.2949811492286015,1,1,0,0.1320273046664011,0.43015762899658994,0.5124,1,ENTRY_APPROVED
BTC/USD,7993,1775844600000,272.4499999999992,3.443934666911381,73320,1.8014314553129174,72829.2,72727.28619681868,0.0024396014041382173,1,1,0.0012624049773259619,0.3358414387961104,1,0.19856854468708263,0.748128487291762,0.12198007020691086,0.47259386434796913,0.5083,1,ENTRY_APPROVED
BTC/USD,8972,1776138300000,176.77142857142877,3.2080976240504575,74592.8,1.6558105705511372,74300.1,74246.58238363879,0.002665163653931396,1,0,0,0,1,0.34418942944886277,0.605500750813862,0.1332581826965698,0,0.4166,1,ENTRY_APPROVED
BTC/USD,9013,1776150600000,113.99285714285361,2.93088539382181,74529.3,2.7598220439878554,74214.7,74365.2416306463,0.001629649699084848,1,1,0.0042104279823308825,3.308102011404377,1,0,0,0.08148248495424239,0.6957952692153218,0.3555,1,ENTRY_APPROVED
BTC/USD,9033,1776156600000,175.65714285714265,4.297007156798981,74950,2.6278464541314612,74488.4,74502.46491056266,0.0005436121554892217,1,1,0.0011247856755000792,0.47934287573192935,1,0,0,0.027180607774461085,0.37856846546875006,0.2811,0,V4_SCORE_BELOW_THRESHOLD
BTC/USD,9088,1776173100000,118.48571428571553,2.8366288883530455,74643.1,2.8366288883530455,74307,74467.04673022701,0.0017373818620551756,1,1,0.0011558729449474598,1.297202797202759,1,0,0,0.08686909310275878,0.3684468032739906,0.2911,0,V4_SCORE_BELOW_THRESHOLD
BTC/USD,11341,1776849000000,161.6142857142851,2.2801202156810834,78207.5,1.5159550959073689,77962.5,77817.64141565378,0.0009046932564472955,1,1,0.0011282504434242699,0.2970034473614437,1,0.4840449040926311,1,0.045234662822364775,0.41671447435577114,0.5892,1,ENTRY_APPROVED
BTC/USD,11364,1776855900000,132.62857142857268,1.82389056441194,78198.1,1.7665876777251237,77963.8,77976.55635218142,0.0004797562070858073,1,1,0.0010900958466454045,0.6431495045239279,0.91194528220597,0.2334123222748763,0,0.023987810354290363,0.38029514174993234,0.3099,1,ENTRY_APPROVED
BTC/USD,12672,1777248300000,307.75714285714326,3.5063361648795577,78964.8,2.9256835166875796,78064.4,78339.28218837846,0.0005746702638651544,1,1,0.0020199713245276424,0.5172909993965455,1,0,0,0.02873351319325772,0.4291266959990685,0.2916,0,V4_SCORE_BELOW_THRESHOLD
BTC/USD,12682,1777251300000,344.5499999999998,3.1319111885067668,78964.8,1.5954143085183499,78415.1,78421.41436880972,0.0038441190687336104,1,1,0.0016259277221944038,0.431287186184896,1,0.40458569148165013,0,0.1922059534366805,0.4641790020483779,0.4122,1,ENTRY_APPROVED
BTC/USD,14930,1777925700000,214.22857142857225,4.064350493464895,80770.7,4.064350493464895,79900,80014.63234135594,0.001111908401709741,1,0,0,0,1,0,0,0.05559542008548705,0,0.2111,0,V4_SCORE_BELOW_THRESHOLD
BTC/USD,15000,1777946700000,154.93571428571573,3.194873449817867,80238.1,1.1320824305011752,80062.7,80104.0646063943,0.0013268046908643557,1,1,0.0019317034145808205,1.0036420635286432,1,0.8679175694988248,0,0.06634023454321779,0.48273536534185385,0.4834,1,ENTRY_APPROVED
BTC/USD,15062,1777965300000,156.6285714285706,3.768150310105802,81303.3,3.160342940532669,80808.3,80789.88464702734,0.0005073748351956574,1,0,0,0,1,0,0.2351467909679443,0.025368741759782872,0,0.2521,0,V4_SCORE_BELOW_THRESHOLD
BTC/USD,15110,1777979700000,110.27142857142879,3.363518590490937,80890.9,1.8690244850368392,80684.8,80780.83905968236,0.0016082035674450821,1,0,0,0,1,0.13097551496316084,0,0.0804101783722541,0,0.2423,0,V4_SCORE_BELOW_THRESHOLD
BTC/USD,15113,1777980600000,108.53571428571429,3.417308325106889,80890.9,1.4870681145112987,80729.5,80797.00268399868,0.0000444699185707099,1,0,0,0,1,0.5129318854887013,0,0.002223495928535495,0,0.303,1,ENTRY_APPROVED
BTC/USD,15194,1778004900000,199.92142857142815,3.1597413269498653,81698.4,2.120332987959531,81274.5,81341.8628250579,0.003491531075607376,1,0,0,0,1,0,0,0.1745765537803688,0,0.2349,0,V4_SCORE_BELOW_THRESHOLD
BTC/USD,15212,1778010300000,166.22857142857225,3.1931935372980425,81597.5,1.0281024407012318,81426.6,81428.35907131062,0.0014721371708511584,1,0,0,0,1,0.9718975592987682,0,0.07360685854255791,0,0.4091,1,ENTRY_APPROVED
BTC/USD,17857,1778804100000,167.07857142857185,2.2749775554699947,81561.2,3.131460818263409,81038,81337.11589428317,0.004588440126811336,1,0,0,0,1,0,0,0.22942200634056678,0,0.2459,0,V4_SCORE_BELOW_THRESHOLD
BTC/USD,34082,1783671600000,101.26428571428498,3.8029202228962538,64150.6,3.2449742540735085,63822,63865.834791494926,0.00007505288883264473,1,1,0.003949941459283131,2.7048035550539944,1,0,0,0.0037526444416322367,0.5159137854435447,0.3039,1,ENTRY_APPROVED
BTC/USD,35501,1784097300000,125.16428571428592,2.2969811105404285,64822.5,1.8080237402271502,64596.2,64732.91861591113,-0.0009688400104739685,0,1,0.0041064139516832476,2.1387890201449253,1,0.19197625977284982,0,0,0.6851762932520261,0.3754,1,ENTRY_APPROVED
BTC/USD,35577,1784120100000,115.42142857142764,1.9147224456959124,64799.1,2.071539080388642,64560,64668.811495119146,0.0016496348561048173,1,1,0.003286908249049676,3.427439816820363,0.9573612228479562,0,0,0.08248174280524087,0.4453451543205821,0.297,0,V4_SCORE_BELOW_THRESHOLD
BTC/USD,37199,1784606700000,124.85714285714286,3.7202517162471396,65600,1.8621281464530892,65367.5,65347.45350830343,0.0008911690337072701,1,1,0.0014825717820725476,0.7792906178489353,1,0.13787185354691078,0.32111085097483827,0.0445584516853635,0.5741285891036274,0.4155,1,ENTRY_APPROVED
BTC/USD,37325,1784644500000,167.635714285717,2.674847671396232,66596.4,1.8188248327580423,66291.5,66413.07719071364,-0.0031025211545758625,0,1,0.0018081531541645586,0.7206101666027582,1,0.1811751672419577,0,0,0.421593758732002,0.3206,1,ENTRY_APPROVED
BTC/USD,37343,1784649900000,188.2714285714319,3.2708096213672846,66907.3,2.1399954473025353,66504.4,66533.39867551163,0.0008791762748431933,1,1,0.0010865362423530327,0.38508232794596786,1,0,0,0.043958813742159666,0.4211441789020797,0.293,0,V4_SCORE_BELOW_THRESHOLD
BTC/USD,37432,1784676600000,81.15714285714473,3.560992782960664,66464.8,3.3010033444816367,66196.9,66328.62387412299,0.0017015594362698048,1,0,0,0,1,0,0,0.08507797181349024,0,0.217,0,V4_SCORE_BELOW_THRESHOLD
BTC/USD,37437,1784678100000,79.72857142857227,3.624798423221607,66464.8,3.360150510661246,66196.9,66333.82152115992,0.0005046313103392176,1,1,0.0011684210526315352,1.441139580720213,1,0,0,0.02523156551696088,0.5440979212275997,0.3139,1,ENTRY_APPROVED
BTC/USD,45678,1787151000000,170.45714285714453,4.290814616158197,65150,1.3270197787461986,64923.8,64818.80591910149,0.0006100898774008976,1,1,0.0011652697683511343,0.45876634260813376,1,0.6729802212538014,1,0.030504493870044877,0.28149529438635074,0.597,1,ENTRY_APPROVED
BTC/USD,45679,1787151300000,170.45714285714453,4.290814616158197,65150,1.3270197787461986,64923.8,64818.80591910149,0.0006100898774008976,1,1,0.003325879912141863,1.7406134763660401,1,0.6729802212538014,1,0.030504493870044877,0.6660195216821,0.6739,1,ENTRY_APPROVED
BTC/USD,45745,1787171100000,249.52142857142982,2.8422408610768928,68499.7,1.6231070907165064,68094.7,67894.89777650488,0.003621662963907285,1,1,0.002648084029043,0.4977528411530503,1,0.3768929092834936,1,0.18108314819536425,0.6321070246319247,0.638,1,ENTRY_APPROVED
BTC/USD,45948,1787232300000,321.74285714285776,2.978154693188867,72405.9,2.898898854453409,71473.2,71548.92191311308,0.0013225896082244663,1,1,0.001263098217350081,0.04382381671256574,1,0,0,0.06612948041122331,0.3084498489942149,0.2749,0,V4_SCORE_BELOW_THRESHOLD
