timestamp,lotId,pair,price,exitReasonType,exitReason,currentR,mfeR,maeR,beActivated,trailingActivated,stopPrice,regime,direction,adx,atrPct
2026-09-21T14:06:23.881Z,spot-XRP/USD-mub52mxr-kacg,XRP/USD, R -0.43",TIME_EFFICIENCY,"Time efficiency: no progress after 180min,-0.4284333843800633,0.1141904032670462,0.509852475753266,false,false,1.4529,1.3844961745825022,TREND,1.476,41.633189378274416
2026-09-21T14:06:23.881Z,spot-XRP/USD-mub53tsf-dlrq,XRP/USD, R -0.50",TIME_EFFICIENCY,"Time efficiency: no progress after 180min,-0.4986574783055771,0.043966309341532395,0.5800765696787797,false,false,1.45557,1.3844961745825022,TREND,1.476,41.633189378274416
2026-09-21T16:01:03.733Z,spot-ETH/USD-mub9651f-dv29,ETH/USD, R 0.31",TIME_EFFICIENCY,"Time efficiency: no progress after 180min,0.30942638561875024,0.44519468971075205,0.415840212993247,false,false,2677.24857143,1.013894289343389,TREND,2756.37,48.2529441034077
2026-09-21T17:36:34.475Z,spot-XRP/USD-mubcl3ko-16xg,XRP/USD, R 0.00",TIME_EFFICIENCY,"Time efficiency: no progress after 180min,0.0007651174066597844,0.1971355544782597,0.3922181893748962,false,false,1.45494143,1.4031828305169591,TREND,1.49765,43.25820424653606
2026-09-21T17:36:34.579Z,spot-ETH/USD-mubcl4q5-kdfh,ETH/USD, R 0.12",TIME_EFFICIENCY,"Time efficiency: no progress after 180min,0.12036425664067049,0.4302592389606672,0.176135159759331,false,false,2678.53571429,1.0135921806454675,TREND,2748.15,49.825898386786626
2026-09-21T21:17:06.940Z,spot-XRP/USD-mubkh1r4-l1rh,XRP/USD, R 0.41",TIME_EFFICIENCY,"Time efficiency: no progress after 180min,0.4095551825850955,0.6623270267511314,0.2661644797066563,false,false,1.46644714,1.4823426827496007,TREND,1.52655,46.35169797616296
2026-09-22T01:03:55.734Z,spot-SOL/USD-muazca7i-fwpw,SOL/USD,117.53,TRAILING,Trailing exit: 117.53 ≤ trail 117.5314 (highest 119.93),1.7763326820654692,2.7710040852654716,0,true,true,117.5314,TREND,BULLISH,55.77805530734262,1.1289952545974844
2026-09-22T01:15:51.968Z,spot-SOL/USD-mubumoli-a25o,SOL/USD,118.04,STRUCTURE_INVALIDATION,Structure invalidation: 2 candles below EMA20,-0.5680833333515076,0.09479545454849234,0.7612651515395095,false,false,116.84,TREND,BULLISH,55.77805530734262,1.1289952545974844
2026-09-22T02:15:08.911Z,spot-TON/USD-mubzgejr-o5n,TON/USD,1.446,STRUCTURE_INVALIDATION,Structure invalidation: 2 candles below EMA20,-0.614640000001229,0,0.614640000001229,false,false,1.43,TREND,BULLISH,43.21754483526985,1.0738916256157645
2026-09-22T02:15:08.911Z,spot-TON/USD-mubzhj23-6s8y,TON/USD,1.446,STRUCTURE_INVALIDATION,Structure invalidation: 2 candles below EMA20,-0.4812666666676276,0.05206666666677291,0.4812666666676276,false,false,1.43,TREND,BULLISH,43.21754483526985,1.0738916256157645
2026-09-22T12:20:17.602Z,spot-ETH/USD-mucgr8g5-2ehg,ETH/USD, R -0.02",TIME_EFFICIENCY,"Time efficiency: no progress after 180min,-0.021296073165449413,0.224094429074542,0.15956418308145243,false,false,2699.36857143,0.6805500048718653,TRANSITION,2741.78,40.39115961507768
2026-09-22T12:26:13.679Z,spot-XRP/USD-mucgy72z-a3nz,XRP/USD, R -0.02",TIME_EFFICIENCY,"Time efficiency: no progress after 180min,-0.022936948840894717,0.17833843679042233,0.27588843248145545,false,false,1.48588714,1.4964783007394609,TREND,1.53506,38.46100601930188
2026-09-22T12:27:13.692Z,spot-XRP/USD-mucgzhd6-ius,XRP/USD, R -0.03",TIME_EFFICIENCY,"Time efficiency: no progress after 180min,-0.02817211961042142,0.15440335506813813,0.29982351420373965,false,false,1.48599714,1.4964783007394609,TREND,1.53599,38.46100601930188
2026-09-22T12:40:51.527Z,spot-ETH/USD-muchhfgt-43s7,ETH/USD, R 0.13",TIME_EFFICIENCY,"Time efficiency: no progress after 180min,0.12995133029503897,0.23046705525103342,0.14682084194296144,false,false,2699.37857143,0.6805500048718653,TRANSITION,2747.92,40.39115961507768
2026-09-22T14:32:38.909Z,spot-XRP/USD-mucnkkq4-tvl,XRP/USD,1.53924,BREAK_EVEN,Break-even exit: 1.53924 ≤ BE 1.5414523,-0.0480725771403044,1.1435832246832396,0.07871142981300848,true,false,1.5414523,TREND,BULLISH,39.28871495864813,1.4668724740694392
2026-09-22T14:32:38.909Z,spot-XRP/USD-mucnlrl8-dv1m,XRP/USD,1.53924,BREAK_EVEN,Break-even exit: 1.53924 ≤ BE 1.54374298,-0.09784832681428586,1.0938074750092581,0.12848717948698993,true,false,1.54374298,TREND,BULLISH,39.28871495864813,1.4668724740694392
2026-09-22T14:45:47.143Z,spot-SOL/USD-mucolz00-9zh9,SOL/USD,116.48,STRUCTURE_INVALIDATION,Structure invalidation: 2 candles below EMA20,-0.41297023947493705,0.17385610776505936,0.5471019759869402,false,false,115.04428571,TREND,BULLISH,31.217911748932114,0.9857227624456573
2026-09-22T14:45:47.143Z,spot-SOL/USD-mucon9cr-a3d9,SOL/USD,116.48,STRUCTURE_INVALIDATION,Structure invalidation: 2 candles below EMA20,-0.4171631137259718,0.16966323351402463,0.551294850237975,false,false,115.05428571,TREND,BULLISH,31.217911748932114,0.9857227624456573
2026-09-22T16:45:37.093Z,spot-XRP/USD-mucs6ma0-5to2,XRP/USD,1.55576,STRUCTURE_INVALIDATION,Structure invalidation: 2 candles below EMA20,0.2177683581167676,0.8406106086131006,0.08227763299070265,false,false,1.49896714,TREND,BULLISH,40.31138864703628,1.6672800214447023
2026-09-22T16:45:37.093Z,spot-XRP/USD-mucs7wk1-853p,XRP/USD,1.55576,STRUCTURE_INVALIDATION,Structure invalidation: 2 candles below EMA20,0.12824283305188344,0.7510850835482163,0.17180315805558682,false,false,1.50160714,TREND,BULLISH,40.31138864703628,1.6672800214447023
2026-09-22T18:10:25.118Z,spot-BTC/USD-muct9ams-8owk,BTC/USD, R 0.23",TIME_EFFICIENCY,"Time efficiency: no progress after 180min,0.22706736205348255,0.3671727743534825,0.1595865843665094,false,false,85137.17142857,0.6279946200177114,TREND,86489.9,39.169577435665545
2026-09-22T21:16:41.849Z,spot-ETH/USD-muczw3lo-jj25,ETH/USD, R -0.18",TIME_EFFICIENCY,"Time efficiency: no progress after 180min,-0.17827266022765362,0.19387801798034773,0.23660197637165534,false,false,2711.77142857,0.7299008574699583,TREND,2747.69,29.32913757398392
2026-09-22T21:17:41.861Z,spot-ETH/USD-muczxdy7-k5gg,ETH/USD, R -0.17",TIME_EFFICIENCY,"Time efficiency: no progress after 180min,-0.1705680083466518,0.1661512257573543,0.26432876859464877,false,false,2714.10142857,0.7299008574699583,TREND,2749.16,29.32913757398392
2026-09-23T04:06:05.992Z,spot-XRP/USD-mudej65b-3soc,XRP/USD, R 0.36",TIME_EFFICIENCY,"Time efficiency: no progress after 180min,0.36189882867929307,0.5386783369821088,0.2771023297730958,false,false,1.53477714,1.6595961040405505,TREND,1.61122,38.129831130973336
2026-09-23T04:07:05.981Z,spot-XRP/USD-mudekgho-3271,XRP/USD, R 0.40",TIME_EFFICIENCY,"Time efficiency: no progress after 180min,0.40244458746434053,0.5386783369821088,0.2771023297730958,false,false,1.53477714,1.6595961040405505,TREND,1.61347,38.129831130973336
2026-09-23T06:15:54.544Z,spot-BTC/USD-mudm49ho-f8ub,BTC/USD,86593.6,STRUCTURE_INVALIDATION,Structure invalidation: 2 candles below EMA20,-0.6796082559361701,0,0.8351903556361734,false,false,86272.34285714,TREND,BULLISH,36.83775203124183,0.5170661735021824
