pair,window,startDate,endDate,candlesAnalyzed,signalsBuy,intentExecutable,entriesExecuted,closedTrades,openTerminalTrades,wins,losses,winRate,grossPnlUsd,netPnlUsd,feesUsd,feesToGrossProfitRatio,expectancyUsd,expectancyR,medianR,meanR,profitFactor,grossProfitFactor,maxDrawdownUsd,maxDrawdownPct,maxConsecutiveLosses,avgHoldMinutes,medianHoldMinutes,mfeMean,mfeMedian,mfeP75,mfeP90,maeMean,maeMedian,maeP75,maeP90,profitCaptureMean,profitCaptureMedian,runHash,deterministic,structureExitWith0PostEntry15m,structureExitWith1PostEntry15m,structureExitWith2PlusPostEntry15m
BTC/USD,FULL,2026-03-14T00:00:00.000Z,2026-09-11T09:35:00.000Z,52240,47,36,24,24,0,8,16,0.3333,43.71,-95.37,139.07,0.3980,-3.97,0.0364,-0.1540,0.0364,0.7624,1.1430,196.12,1.94,6,173.8,155.0,27.42,15.37,32.89,69.74,17.32,11.69,24.71,41.65,-547.7732,-30.7544,457e4b9dee7f67f85f7b0b27e7e9900c1e1a4af89df127ceb736377dab661dad,true,0,0,12
BTC/USD,COMMON,2026-03-14T00:00:00.000Z,2026-09-11T04:00:00.000Z,52173,47,36,24,24,0,8,16,0.3333,43.71,-95.37,139.07,0.3980,-3.97,0.0364,-0.1540,0.0364,0.7624,1.1430,196.12,1.94,6,173.8,155.0,27.42,15.37,32.89,69.74,17.32,11.69,24.71,41.65,-547.7732,-30.7544,457e4b9dee7f67f85f7b0b27e7e9900c1e1a4af89df127ceb736377dab661dad,true,0,0,12
ETH/USD,FULL,2026-03-14T00:00:00.000Z,2026-09-11T09:55:00.000Z,52244,60,49,39,39,0,10,29,0.2564,-336.08,-573.34,237.27,0.7747,-14.70,-0.1723,-0.1755,-0.1723,0.3028,0.4768,573.34,5.73,7,163.5,135.0,19.57,9.32,20.24,87.28,21.75,16.17,29.07,53.04,-569.3041,-80.2294,ac816785ea6318166d5934a311fece20b7da1b6dfea4c5e48cf0732abb8455f0,true,0,0,21
ETH/USD,COMMON,2026-03-14T00:00:00.000Z,2026-09-11T04:00:00.000Z,52173,60,49,39,39,0,10,29,0.2564,-336.08,-573.34,237.27,0.7747,-14.70,-0.1723,-0.1755,-0.1723,0.3028,0.4768,573.34,5.73,7,163.5,135.0,19.57,9.32,20.24,87.28,21.75,16.17,29.07,53.04,-569.3041,-80.2294,ac816785ea6318166d5934a311fece20b7da1b6dfea4c5e48cf0732abb8455f0,true,0,0,21
SOL/USD,FULL,2026-03-14T00:00:00.000Z,2026-09-11T11:45:00.000Z,52266,59,47,44,44,0,20,24,0.4545,525.65,317.76,207.89,0.2235,7.22,0.2389,-0.0365,0.2389,1.6126,2.2995,181.97,1.82,7,181.0,185.0,32.08,10.79,34.80,139.64,13.56,12.02,21.93,29.27,-814.1962,0.0000,73cc1b8944c4f033a06067e3c91d6c85167db5f2220e66fcdececa406db3924e,true,0,0,19
SOL/USD,COMMON,2026-03-14T00:00:00.000Z,2026-09-11T04:00:00.000Z,52173,59,47,44,44,0,20,24,0.4545,525.65,317.76,207.89,0.2235,7.22,0.2389,-0.0365,0.2389,1.6126,2.2995,181.97,1.82,7,181.0,185.0,32.08,10.79,34.80,139.64,13.56,12.02,21.93,29.27,-814.1962,0.0000,73cc1b8944c4f033a06067e3c91d6c85167db5f2220e66fcdececa406db3924e,true,0,0,19
XRP/USD,FULL,2026-03-14T00:00:00.000Z,2026-09-11T12:40:00.000Z,52277,37,27,27,27,0,7,20,0.2593,14.48,-90.42,104.91,0.2644,-3.35,0.0107,-0.2705,0.0107,0.8036,1.0379,227.25,2.24,7,144.6,130.0,21.70,5.45,19.70,66.52,19.74,16.86,23.51,40.80,-635.4736,0.0000,c372d0581c893d84de14a1f644cf7c033d0a0abe9ad97aaaa1efdd499382a5db,true,0,0,15
XRP/USD,COMMON,2026-03-14T00:00:00.000Z,2026-09-11T04:00:00.000Z,52173,37,27,27,27,0,7,20,0.2593,14.48,-90.42,104.91,0.2644,-3.35,0.0107,-0.2705,0.0107,0.8036,1.0379,227.25,2.24,7,144.6,130.0,21.70,5.45,19.70,66.52,19.74,16.86,23.51,40.80,-635.4736,0.0000,c372d0581c893d84de14a1f644cf7c033d0a0abe9ad97aaaa1efdd499382a5db,true,0,0,15
