fold,combo,trainScore,trainTrades,isBest
0,stale180_r0.3_gb1.8@0.6_atr2.5_fa1,-1.25,24,0
0,stale180_r0.5_gb0.8@0.4_atr2_fa0,-1.19,24,0
0,stale180_r0.5_gb0.8@0.4_atr2_fa1,-1.19,24,0
0,stale180_r0.5_gb0.8@0.4_atr2.5_fa0,-1.19,24,0
0,stale180_r0.5_gb0.8@0.4_atr2.5_fa1,-1.19,24,0
0,stale180_r0.5_gb0.8@0.6_atr2_fa0,-1.3,24,0
0,stale180_r0.5_gb0.8@0.6_atr2_fa1,-1.3,24,0
0,stale180_r0.5_gb0.8@0.6_atr2.5_fa0,-1.3,24,0
0,stale180_r0.5_gb0.8@0.6_atr2.5_fa1,-1.3,24,0
0,stale180_r0.5_gb1.2@0.4_atr2_fa0,-1.14,24,1
0,stale180_r0.5_gb1.2@0.4_atr2_fa1,-1.14,24,0
0,stale180_r0.5_gb1.2@0.4_atr2.5_fa0,-1.14,24,0
0,stale180_r0.5_gb1.2@0.4_atr2.5_fa1,-1.14,24,0
0,stale180_r0.5_gb1.2@0.6_atr2_fa0,-1.24,24,0
0,stale180_r0.5_gb1.2@0.6_atr2_fa1,-1.24,24,0
0,stale180_r0.5_gb1.2@0.6_atr2.5_fa0,-1.24,24,0
0,stale180_r0.5_gb1.2@0.6_atr2.5_fa1,-1.24,24,0
0,stale180_r0.5_gb1.8@0.4_atr2_fa0,-1.2,24,0
0,stale180_r0.5_gb1.8@0.4_atr2_fa1,-1.2,24,0
0,stale180_r0.5_gb1.8@0.4_atr2.5_fa0,-1.2,24,0
0,stale180_r0.5_gb1.8@0.4_atr2.5_fa1,-1.2,24,0
0,stale180_r0.5_gb1.8@0.6_atr2_fa0,-1.24,24,0
0,stale180_r0.5_gb1.8@0.6_atr2_fa1,-1.24,24,0
0,stale180_r0.5_gb1.8@0.6_atr2.5_fa0,-1.24,24,0
0,stale180_r0.5_gb1.8@0.6_atr2.5_fa1,-1.24,24,0
0,stale240_r0.3_gb0.8@0.4_atr2_fa0,-1.2,24,0
0,stale240_r0.3_gb0.8@0.4_atr2_fa1,-1.2,24,0
0,stale240_r0.3_gb0.8@0.4_atr2.5_fa0,-1.2,24,0
0,stale240_r0.3_gb0.8@0.4_atr2.5_fa1,-1.2,24,0
1,stale120_r0.3_gb0.8@0.4_atr2_fa0,-0.69,22,0
1,stale120_r0.3_gb0.8@0.4_atr2_fa1,-0.69,22,0
1,stale120_r0.3_gb0.8@0.4_atr2.5_fa0,-0.69,22,0
1,stale120_r0.3_gb0.8@0.4_atr2.5_fa1,-0.69,22,0
1,stale120_r0.3_gb0.8@0.6_atr2_fa0,-0.76,22,0
1,stale120_r0.3_gb0.8@0.6_atr2_fa1,-0.76,22,0
1,stale120_r0.3_gb0.8@0.6_atr2.5_fa0,-0.76,22,0
1,stale120_r0.3_gb0.8@0.6_atr2.5_fa1,-0.76,22,0
1,stale120_r0.3_gb1.2@0.4_atr2_fa0,-0.63,22,0
1,stale120_r0.3_gb1.2@0.4_atr2_fa1,-0.63,22,0
1,stale120_r0.3_gb1.2@0.4_atr2.5_fa0,-0.63,22,0
1,stale120_r0.3_gb1.2@0.4_atr2.5_fa1,-0.63,22,0
1,stale120_r0.3_gb1.2@0.6_atr2_fa0,-0.69,22,0
1,stale120_r0.3_gb1.2@0.6_atr2_fa1,-0.69,22,0
1,stale120_r0.3_gb1.2@0.6_atr2.5_fa0,-0.69,22,0
1,stale120_r0.3_gb1.2@0.6_atr2.5_fa1,-0.69,22,0
1,stale120_r0.3_gb1.8@0.4_atr2_fa0,-0.69,22,0
1,stale120_r0.3_gb1.8@0.4_atr2_fa1,-0.69,22,0
1,stale120_r0.3_gb1.8@0.4_atr2.5_fa0,-0.69,22,0
1,stale120_r0.3_gb1.8@0.4_atr2.5_fa1,-0.69,22,0
1,stale120_r0.3_gb1.8@0.6_atr2_fa0,-0.69,22,0
1,stale120_r0.3_gb1.8@0.6_atr2_fa1,-0.69,22,0
1,stale120_r0.3_gb1.8@0.6_atr2.5_fa0,-0.69,22,0
1,stale120_r0.3_gb1.8@0.6_atr2.5_fa1,-0.69,22,0
1,stale120_r0.5_gb0.8@0.4_atr2_fa0,-0.69,22,0
1,stale120_r0.5_gb0.8@0.4_atr2_fa1,-0.69,22,0
1,stale120_r0.5_gb0.8@0.4_atr2.5_fa0,-0.69,22,0
1,stale120_r0.5_gb0.8@0.4_atr2.5_fa1,-0.69,22,0
1,stale120_r0.5_gb0.8@0.6_atr2_fa0,-0.76,22,0
1,stale120_r0.5_gb0.8@0.6_atr2_fa1,-0.76,22,0
1,stale120_r0.5_gb0.8@0.6_atr2.5_fa0,-0.76,22,0
1,stale120_r0.5_gb0.8@0.6_atr2.5_fa1,-0.76,22,0
1,stale120_r0.5_gb1.2@0.4_atr2_fa0,-0.65,22,0
1,stale120_r0.5_gb1.2@0.4_atr2_fa1,-0.65,22,0
1,stale120_r0.5_gb1.2@0.4_atr2.5_fa0,-0.65,22,0
1,stale120_r0.5_gb1.2@0.4_atr2.5_fa1,-0.65,22,0
1,stale120_r0.5_gb1.2@0.6_atr2_fa0,-0.71,22,0
1,stale120_r0.5_gb1.2@0.6_atr2_fa1,-0.71,22,0
1,stale120_r0.5_gb1.2@0.6_atr2.5_fa0,-0.71,22,0
1,stale120_r0.5_gb1.2@0.6_atr2.5_fa1,-0.71,22,0
1,stale120_r0.5_gb1.8@0.4_atr2_fa0,-0.71,22,0
1,stale120_r0.5_gb1.8@0.4_atr2_fa1,-0.71,22,0
1,stale120_r0.5_gb1.8@0.4_atr2.5_fa0,-0.71,22,0
1,stale120_r0.5_gb1.8@0.4_atr2.5_fa1,-0.71,22,0
1,stale120_r0.5_gb1.8@0.6_atr2_fa0,-0.71,22,0
1,stale120_r0.5_gb1.8@0.6_atr2_fa1,-0.71,22,0
1,stale120_r0.5_gb1.8@0.6_atr2.5_fa0,-0.71,22,0
1,stale120_r0.5_gb1.8@0.6_atr2.5_fa1,-0.71,22,0
1,stale180_r0.3_gb0.8@0.4_atr2_fa0,0.06,21,0
1,stale180_r0.3_gb0.8@0.4_atr2_fa1,0.06,21,0
1,stale180_r0.3_gb0.8@0.4_atr2.5_fa0,0.06,21,0
