fold,pair,lotId,e0ExitReason,e0ClosedAtMs,e0NetPnlUsd,cohortExitReason,cohortClosedAtMs,cohortNetPnlUsd,sameExit
2,SOL/USD,replay-SOL/USD-22,STRUCTURE_INVALIDATION,1788705900000,-27.499701269604163,STRUCTURE_INVALIDATION,1788705900000,-27.499701269604163,1
2,XRP/USD,replay-XRP/USD-1,TIME_EFFICIENCY,1787290500000,5.256966163906155,TIME_EFFICIENCY,1787290500000,5.256966163906155,1
2,XRP/USD,replay-XRP/USD-2,BREAK_EVEN,1787313000000,-2.5314182459351255,BREAK_EVEN,1787313000000,-2.5314182459351255,1
2,XRP/USD,replay-XRP/USD-3,TIME_EFFICIENCY,1787331000000,-15.963247941964154,TIME_EFFICIENCY,1787331000000,-15.963247941964154,1
2,XRP/USD,replay-XRP/USD-4,TIME_EFFICIENCY,1787331300000,-17.27436146888596,TIME_EFFICIENCY,1787331300000,-17.27436146888596,1
2,XRP/USD,replay-XRP/USD-5,PROFIT,1787375100000,152.96624009792063,PROFIT,1787375100000,152.96624009792063,1
2,XRP/USD,replay-XRP/USD-7,EMERGENCY,1787385900000,-57.216099278470644,EMERGENCY,1787385900000,-57.216099278470644,1
2,XRP/USD,replay-XRP/USD-6,EMERGENCY,1787387400000,-53.95568974048992,EMERGENCY,1787387400000,-53.95568974048992,1
2,XRP/USD,replay-XRP/USD-8,STRUCTURE_INVALIDATION,1788474600000,-37.93981060201499,STRUCTURE_INVALIDATION,1788474600000,-37.93981060201499,1
2,XRP/USD,replay-XRP/USD-9,STRUCTURE_INVALIDATION,1788499800000,-12.723776989952253,STRUCTURE_INVALIDATION,1788499800000,-12.723776989952253,1
2,XRP/USD,replay-XRP/USD-10,STRUCTURE_INVALIDATION,1788517800000,-19.744141991427227,STRUCTURE_INVALIDATION,1788517800000,-19.744141991427227,1
2,XRP/USD,replay-XRP/USD-11,STRUCTURE_INVALIDATION,1788946200000,-36.04719440133682,STRUCTURE_INVALIDATION,1788946200000,-36.04719440133682,1
