fold,pair,lotId,entryTime,entryPrice,e0ExitTime,e1ExitTime,e0Reason,e1Reason,e0Net,e1Net,e0R,e1R,e0MfeR,e1MfeR,e0Capture,e1Capture,e0Giveback,e1Giveback,deltaNet,deltaR,deltaCapture,deltaGiveback
1,ETH/USD,replay-ETH/USD-1,1784116500000,1881.96,1784150100000,1784133300000,STRUCTURE_INVALIDATION,MFE_GIVEBACK,76.66523846475246,56.731544499492585,1.6763564734674368,1.277323464454127,2.3632782188264803,2.3632782188264803,0.7093352192362081,0.5404879773691649,0.6869217453590435,1.0859547543723533,-19.933693965259877,-0.39903300901330985,-0.16884724186704325,0.39903300901330985
1,ETH/USD,replay-ETH/USD-2,1784171700000,1926.23,1784175300000,1784175300000,STRUCTURE_INVALIDATION,STRUCTURE_INVALIDATION,-21.684106315405895,-21.684106315405895,-0.3075961888894687,-0.3075961888894687,0,0,,,0.3075961888894687,0.3075961888894687,0,0,,0
1,ETH/USD,replay-ETH/USD-3,1784602500000,1913.22,1784614200000,1784632500000,TIME_EFFICIENCY,STRUCTURE_INVALIDATION,18.87372008685186,19.778384228032955,0.4892820844497785,0.5073916658967026,0.5765961378545659,0.9999076041762923,0.8485698261357233,0.5074385510996124,0.08731405340478737,0.4925159382795897,0.9046641411810938,0.018109581446924095,-0.34113127503611085,0.40520188487480235
1,ETH/USD,replay-ETH/USD-4,1785109500000,1952.42,1785120600000,1785121500000,TIME_EFFICIENCY,TIME_EFFICIENCY,-33.74346352856654,-38.59356809198747,-0.49852676967301934,-0.5956162414660517,0.05282069708946955,0.05282069708946955,-9.438095238095727,-11.276190476191104,0.5513474667624889,0.6484369385555213,-4.850104563420935,-0.0970894717930324,-1.8380952380953772,0.0970894717930324
1,SOL/USD,replay-SOL/USD-1,1784639400000,78.54,1784645100000,1784645100000,STRUCTURE_INVALIDATION,STRUCTURE_INVALIDATION,-34.69993174061505,-34.69993174061505,-0.5255972696245876,-0.5255972696245876,0,0,,,0.5255972696245876,0.5255972696245876,0,0,,0
2,BTC/USD,replay-BTC/USD-1,1787171100000,68766.7,1787182200000,1787178600000,TIME_EFFICIENCY,MFE_GIVEBACK,18.20867384183433,10.01472139681784,0.46595694899391626,0.30193027608797113,0.8635353299017307,0.8635353299017307,0.5395922238027501,0.3496443812233258,0.3975783809078144,0.5616050538137596,-8.193952445016489,-0.16402667290594514,-0.18994784257942426,0.1640266729059452
2,BTC/USD,replay-BTC/USD-2,1787260500000,72685.4,1787300100000,1787300100000,PROFIT,PROFIT,147.16777847595148,147.16777847595148,3.0412118442508103,3.0412118442508103,3.0412118442508103,3.0412118442508103,1,1,0,0,0,0,0,0
2,BTC/USD,replay-BTC/USD-3,1787289300000,75305.7,1787304000000,1787312100000,TRAILING,TRAILING,75.51728710251855,36.26645794963151,1.6083439328415186,0.8226201984228007,2.8176647163571675,2.8176647163571675,0.5708074220132459,0.29195105920420844,1.209320783515649,1.995044517934367,-39.25082915288704,-0.7857237344187179,-0.2788563628090374,0.785723734418718
2,BTC/USD,replay-BTC/USD-4,1787346900000,77688.1,1787358000000,1787358600000,TIME_EFFICIENCY,STRUCTURE_INVALIDATION,5.031427440633245,1.7691945910290234,0.16226912928759896,0.09696569920844327,0.45642040457343636,0.45642040457343636,0.35552558049908667,0.21244821273725908,0.2941512752858374,0.3594547053649931,-3.2622328496042217,-0.06530343007915569,-0.14307736776182758,0.06530343007915568
2,BTC/USD,replay-BTC/USD-5,1787373300000,78700.5,1787376000000,1787376000000,EMERGENCY,EMERGENCY,-64.46020613975124,-64.46020613975124,-1.1934226719540566,-1.1934226719540566,0,0,,,1.1934226719540566,1.1934226719540566,0,0,,0
2,BTC/USD,replay-BTC/USD-6,1788461700000,81170,1788472800000,1788475500000,TIME_EFFICIENCY,STRUCTURE_INVALIDATION,12.220130525457964,-4.599386026944091,0.36731709655767764,0.03062374149007571,0.765090133282188,0.765090133282188,0.48009650180941515,0.0400263186752936,0.39777303672451036,0.7344663917921123,-16.819516552402057,-0.33669335506760195,-0.44007018313412155,0.3366933550676019
2,BTC/USD,replay-BTC/USD-7,1788510900000,81090.8,1788517800000,1788517800000,STRUCTURE_INVALIDATION,STRUCTURE_INVALIDATION,-15.977145427738128,-15.977145427738128,-0.15769864924853044,-0.15769864924853044,0.1316189993024178,0.1316189993024178,-1.1981450252952468,-1.1981450252952468,0.2893176485509482,0.2893176485509482,0,0,0,0
2,ETH/USD,replay-ETH/USD-1,1787220900000,2286.64,1787229000000,1787229000000,STRUCTURE_INVALIDATION,STRUCTURE_INVALIDATION,-8.729314265394875,-8.729314265394875,-0.12215758857746845,-0.12215758857746845,0.3755356589288652,0.3755356589288652,-0.3252889191026406,-0.3252889191026406,0.49769324750633365,0.49769324750633365,0,0,0,0
2,ETH/USD,replay-ETH/USD-2,1787243400000,2325.08,1787252400000,1787252400000,STRUCTURE_INVALIDATION,STRUCTURE_INVALIDATION,-12.578721777130223,-12.578721777130223,-0.17552804078659592,-0.17552804078659592,0.42042971595047507,0.42042971595047507,-0.4174967518406154,-0.4174967518406154,0.595957756737071,0.595957756737071,0,0,0,0
2,ETH/USD,replay-ETH/USD-4,1787339400000,2412.42,1787375400000,1787375400000,TRAILING,TRAILING,26.505262365460055,26.505262365460055,0.592484079025004,0.592484079025004,1.8461006327697387,1.8461006327697387,0.3209381268322785,0.3209381268322785,1.2536165537447346,1.2536165537447346,0,0,0,0
2,ETH/USD,replay-ETH/USD-3,1787338800000,2419.47,1787375400000,1787375400000,TRAILING,TRAILING,21.480295936845224,21.480295936845224,0.49207511851716446,0.49207511851716446,1.7456916722618991,1.7456916722618991,0.2818797421881385,0.2818797421881385,1.2536165537447346,1.2536165537447346,0,0,0,0
2,ETH/USD,replay-ETH/USD-5,1788499200000,2514.71,1788504300000,1788504300000,STRUCTURE_INVALIDATION,STRUCTURE_INVALIDATION,-13.974169775085773,-13.974169775085773,-0.16261033349336929,-0.16261033349336929,0.024818111312184633,0.024818111312184633,,,0.18742844480555393,0.18742844480555393,0,0,,0
2,ETH/USD,replay-ETH/USD-6,1788510000000,2515,1788521100000,1788524700000,TIME_EFFICIENCY,TIME_EFFICIENCY,7.815791653881707,4.075681190549323,0.2954894139306562,0.22061982203129907,0.737649585762501,0.737649585762501,0.4005823627287905,0.29908485856905426,0.44216017183184475,0.5170297637312019,-3.7401104633323836,-0.07486959189935713,-0.10149750415973624,0.07486959189935716
2,ETH/USD,replay-ETH/USD-7,1788512700000,2530.56,1788523800000,1788524700000,TIME_EFFICIENCY,TIME_EFFICIENCY,-15.619260276218354,-18.528405598131016,-0.18187779189377853,-0.240113110118434,0.2432687184951435,0.2432687184951435,-0.7476415094339779,-0.9870283018867775,0.42514651038892204,0.4833818286135775,-2.9091453219126624,-0.05823531822465547,-0.2393867924527996,0.05823531822465544
