policy,pair,lotId,exitReason,entryPrice,exitPrice,volume,grossPnlUsd,entryFeeUsd,exitFeeUsd,netPnlUsd,rMultiple,mfeR,holdTimeMinutes,openedAtMs,closedAtMs
E1,ETH/USD,replay-ETH/USD-1,STRUCTURE_INVALIDATION,1754.21,1752.55,2.098572970380145,-3.4836311308312125,3.313203921333499,3.3100686533157506,-10.106903705480462,-0.06967262261662424,0.24721189591077575,140,1783139100000,1783147500000
E1,ETH/USD,replay-ETH/USD-2,STRUCTURE_INVALIDATION,1788.25,1784.81,2.259959966423457,-7.774262284496816,3.6372360689610725,3.630239232905025,-15.041737586362913,-0.1554852456899363,0.4967392006198763,75,1783292400000,1783296900000
E1,SOL/USD,replay-SOL/USD-2,TIME_EFFICIENCY,74,74.35,46.419098143236035,16.246684350132348,3.09151193633952,3.106133952254639,10.049038461538188,0.32493368700264696,0.44562334217506966,195,1782060300000,1782072000000
E1,SOL/USD,replay-SOL/USD-1,TIME_EFFICIENCY,73.86,74.35,47.10632570659484,23.08209959623123,3.131345895020185,3.152119784656793,16.79863391655425,0.4616419919246246,0.5841184387617803,305,1782053700000,1782072000000
E1,SOL/USD,replay-SOL/USD-3,STRUCTURE_INVALIDATION,81.52,80.7,31.992687385740368,-26.234003656306882,2.3472394881169993,2.323628884826323,-30.904872029250203,-0.5246800731261376,0.03199268738573855,70,1783043400000,1783047600000
E1,SOL/USD,replay-SOL/USD-4,STRUCTURE_INVALIDATION,81.21,80.8,40.603248259860834,-16.647331786542804,2.9676508120649685,2.9526682134570796,-22.56765081206485,-0.3329466357308561,0.07308584686775227,220,1783058700000,1783071900000
E1,XRP/USD,replay-XRP/USD-1,STRUCTURE_INVALIDATION,1.17642,1.16735,2148.4255110183553,-19.48621938493629,2.2747056657049924,2.2571680682585495,-24.018093118899834,-0.3897243876987258,0.18261616843656395,135,1783187100000,1783195200000
E1,ETH/USD,replay-ETH/USD-1,MFE_GIVEBACK,1881.96,1912.53,2.0891780576613175,63.866173222706344,3.5385745836566636,3.5960541395570993,56.731544499492585,1.277323464454127,2.3632782188264803,280,1784116500000,1784133300000
E1,ETH/USD,replay-ETH/USD-2,STRUCTURE_INVALIDATION,1926.23,1917.79,1.8222523038475518,-15.379809444473436,3.1590693497162428,3.1452275212162166,-21.684106315405895,-0.3075961888894687,0,60,1784171700000,1784175300000
E1,ETH/USD,replay-ETH/USD-3,STRUCTURE_INVALIDATION,1913.22,1928.91,1.6169269149034444,25.36958329483513,2.784183220918411,2.807015845883763,19.778384228032955,0.5073916658967026,0.9999076041762923,500,1784602500000,1784632500000
E1,ETH/USD,replay-ETH/USD-4,TIME_EFFICIENCY,1952.42,1940.58,2.5152712899748497,-29.780812073302588,4.419779374775427,4.392976643909455,-38.59356809198747,-0.5956162414660517,0.05282069708946955,200,1785109500000,1785121500000
E1,SOL/USD,replay-SOL/USD-1,STRUCTURE_INVALIDATION,78.54,78.1,59.72696245733789,-26.279863481229384,4.221860068259386,4.19820819112628,-34.69993174061505,-0.5255972696245876,0,95,1784639400000,1784645100000
E1,BTC/USD,replay-BTC/USD-1,MFE_GIVEBACK,68766.7,69135.4,0.04094525035095925,15.096513804398557,2.5341027725783785,2.547689635002337,10.01472139681784,0.30193027608797113,0.8635353299017307,125,1787171100000,1787178600000
E1,BTC/USD,replay-BTC/USD-2,PROFIT,72685.4,76868.5,0.036351173104286365,152.0605922125405,2.377979601798866,2.514834134790153,147.16777847595148,3.0412118442508103,3.0412118442508103,660,1787260500000,1787300100000
E1,BTC/USD,replay-BTC/USD-3,TRAILING,75305.7,76460.6,0.03561434749427632,41.131009921140034,2.4137670312897517,2.4507849402187776,36.26645794963151,0.8226201984228007,2.8176647163571675,380,1787289300000,1787312100000
E1,BTC/USD,replay-BTC/USD-4,STRUCTURE_INVALIDATION,77688.1,77908.6,0.02198768689533861,4.848284960422164,1.53736345646438,1.54172691292876,1.7691945910290234,0.09696569920844327,0.45642040457343636,195,1787346900000,1787358600000
E1,BTC/USD,replay-BTC/USD-5,EMERGENCY,78700.5,76955,0.0341856967044989,-59.67113359770283,2.421388281143174,2.367684260905241,-64.46020613975124,-1.1934226719540566,0,45,1787373300000,1787376000000
E1,BTC/USD,replay-BTC/USD-6,STRUCTURE_INVALIDATION,81170,81206.5,0.04195033080832289,1.5311870745037854,3.064597516540412,3.065975584907465,-4.599386026944091,0.03062374149007571,0.765090133282188,230,1788461700000,1788475500000
E1,BTC/USD,replay-BTC/USD-7,STRUCTURE_INVALIDATION,81090.8,80948.7,0.055488616906588316,-7.884932462426523,4.0496547022638945,4.042558263047711,-15.977145427738128,-0.15769864924853044,0.1316189993024178,115,1788510900000,1788517800000
E1,ETH/USD,replay-ETH/USD-1,STRUCTURE_INVALIDATION,2286.64,2277.07,0.6382319152428012,-6.107879428873422,1.313465964003719,1.3079688725177328,-8.729314265394875,-0.12215758857746845,0.3755356589288652,135,1787220900000,1787229000000
E1,ETH/USD,replay-ETH/USD-2,STRUCTURE_INVALIDATION,2325.08,2315.44,0.9104151493080822,-8.776402039329797,1.9051092498179123,1.8972104879825151,-12.578721777130223,-0.17552804078659592,0.42042971595047507,150,1787243400000,1787252400000
E1,ETH/USD,replay-ETH/USD-4,TRAILING,2412.42,2454.02,0.7121202872896699,29.624203951250205,1.546139901117011,1.5728016846731363,26.505262365460055,0.592484079025004,1.8461006327697387,600,1787339400000,1787375400000
E1,ETH/USD,replay-ETH/USD-3,TRAILING,2419.47,2454.02,0.7121202872896699,24.603755925858223,1.5506583043398636,1.5728016846731363,21.480295936845224,0.49207511851716446,1.7456916722618991,610,1787338800000,1787375400000
E1,ETH/USD,replay-ETH/USD-5,STRUCTURE_INVALIDATION,2514.71,2508.42,1.2926099641762339,-8.130516674668463,2.9254852827122555,2.9181678177050534,-13.974169775085773,-0.16261033349336929,0.024818111312184633,85,1788499200000,1788504300000
E1,ETH/USD,replay-ETH/USD-7,TIME_EFFICIENCY,2530.56,2522.19,1.434367443957211,-12.005655505921698,3.2667775910823234,3.255972501126994,-18.528405598131016,-0.240113110118434,0.2432687184951435,200,1788512700000,1788524700000
E1,ETH/USD,replay-ETH/USD-6,TIME_EFFICIENCY,2515,2522.19,1.5342129487572838,11.030991101564954,3.4726910095121117,3.48261890150352,4.075681190549323,0.22061982203129907,0.737649585762501,245,1788510000000,1788524700000
E1,SOL/USD,replay-SOL/USD-1,PROFIT,82.14,86.99,32.080659945004676,155.5912007332725,2.371594867094416,2.511626947754361,150.70797891842372,3.11182401466545,3.11182401466545,165,1787165100000,1787175000000
E1,SOL/USD,replay-SOL/USD-2,STRUCTURE_INVALIDATION,85.64,84.7,19.12568306010932,-17.978142076502717,1.474131147540986,1.4579508196721336,-20.91022404371584,-0.35956284153005436,0,50,1787186400000,1787189400000
